INFO: Scrapy 1.8.0 started (bot: scrapybot)
INFO: Versions: lxml 4.4.1.0, libxml2 2.9.9, cssselect 1.1.0, parsel 1.5.2, w3lib 1.21.0, Twisted 19.10.0, Python 3.7.4 (default, Aug  9 2019, 18:34:13) [MSC v.1915 64 bit (AMD64)], pyOpenSSL 19.0.0 (OpenSSL 1.1.1d  10 Sep 2019), cryptography 2.7, Platform Windows-10-10.0.18362-SP0
INFO: Scrapy 1.8.0 started (bot: scrapybot)
INFO: Versions: lxml 4.4.1.0, libxml2 2.9.9, cssselect 1.1.0, parsel 1.5.2, w3lib 1.21.0, Twisted 19.10.0, Python 3.7.4 (default, Aug  9 2019, 18:34:13) [MSC v.1915 64 bit (AMD64)], pyOpenSSL 19.0.0 (OpenSSL 1.1.1d  10 Sep 2019), cryptography 2.7, Platform Windows-10-10.0.18362-SP0
INFO: Overridden settings: {'USER_AGENT': 'Mozilla/4.0 (compatible;                               MSIE    7.0; Windows NT 5.1)'}
INFO: Telnet Password: 39f1fc8b2dd614f4
INFO: Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.logstats.LogStats']
DEBUG: loading 793 old ids
DEBUG: found old id 104762
DEBUG: found old id 104772
DEBUG: found old id 112773
DEBUG: found old id 113450
DEBUG: found old id 11748
DEBUG: found old id 124887
DEBUG: found old id 125057
DEBUG: found old id 139436
DEBUG: found old id 142044
DEBUG: found old id 146456
DEBUG: found old id 146457
DEBUG: found old id 146460
DEBUG: found old id 148452
DEBUG: found old id 152104
DEBUG: found old id 159219
DEBUG: found old id 160636
DEBUG: found old id 161265
DEBUG: found old id 162623
DEBUG: found old id 164015
DEBUG: found old id 166425
DEBUG: found old id 167360
DEBUG: found old id 169497
DEBUG: found old id 178085
DEBUG: found old id 182543
DEBUG: found old id 183033
DEBUG: found old id 185560
DEBUG: found old id 187415
DEBUG: found old id 188056
DEBUG: found old id 193433
DEBUG: found old id 193464
DEBUG: found old id 199635
DEBUG: found old id 200306
DEBUG: found old id 201069
DEBUG: found old id 202765
DEBUG: found old id 205872
DEBUG: found old id 209211
DEBUG: found old id 211147
DEBUG: found old id 216046
DEBUG: found old id 218510
DEBUG: found old id 220689
DEBUG: found old id 221153
DEBUG: found old id 223302
DEBUG: found old id 227000
DEBUG: found old id 227251
DEBUG: found old id 228108
DEBUG: found old id 23019
DEBUG: found old id 231013
DEBUG: found old id 231104
DEBUG: found old id 233748
DEBUG: found old id 23502
DEBUG: found old id 235587
DEBUG: found old id 236826
DEBUG: found old id 237108
DEBUG: found old id 238887
DEBUG: found old id 239287
DEBUG: found old id 239992
DEBUG: found old id 240269
DEBUG: found old id 241641
DEBUG: found old id 242776
DEBUG: found old id 243126
DEBUG: found old id 243756
DEBUG: found old id 246470
DEBUG: found old id 247693
DEBUG: found old id 251493
DEBUG: found old id 251946
DEBUG: found old id 252565
DEBUG: found old id 255472
DEBUG: found old id 255722
DEBUG: found old id 255767
DEBUG: found old id 257613
DEBUG: found old id 257990
DEBUG: found old id 258752
DEBUG: found old id 258878
DEBUG: found old id 259394
DEBUG: found old id 260683
DEBUG: found old id 261409
DEBUG: found old id 261725
DEBUG: found old id 263113
DEBUG: found old id 263232
DEBUG: found old id 263800
DEBUG: found old id 26391
DEBUG: found old id 264463
DEBUG: found old id 265701
DEBUG: found old id 266894
DEBUG: found old id 267294
DEBUG: found old id 267312
DEBUG: found old id 268430
DEBUG: found old id 27041
DEBUG: found old id 271651
DEBUG: found old id 274355
DEBUG: found old id 274848
DEBUG: found old id 274961
DEBUG: found old id 276152
DEBUG: found old id 27619
DEBUG: found old id 276305
DEBUG: found old id 276707
DEBUG: found old id 277696
DEBUG: found old id 277792
DEBUG: found old id 278218
DEBUG: found old id 278468
DEBUG: found old id 281978
DEBUG: found old id 282028
DEBUG: found old id 282117
DEBUG: found old id 28239
DEBUG: found old id 284057
DEBUG: found old id 284477
DEBUG: found old id 284872
