,link,id,host,date,Availability,Year,Floor,LoyerNet,Charges,Space,Street,Zip,City,Latitude,Longitude,chambre,séjour,cuisine,wc,hall,outdoors,cave,réduit,Entrée,stores,Description,TotalRent,NearestStop,TimeToNearestStop
0,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/galland-cie-254/appartement-1-piece-104762
",104762,"Immobilier
","2020-02-23
",avril 2020										</span>,-1,4,1100,140,39,Avenue de Montoie 2,1007.0,Lausanne,46.520494,6.612747,0,0,1,2,1,0,1,0,0,0,"<p>Petit immeuble, proche des commerces et du TSOL.<br>Appartement comprenant: hall d'entrée, une pièce principale, cuisine entièrement agencée avec lave-vaisselle, salle de bains/WC. Une cave.</p>",1240,Vigie,7.452314002453142
1,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/galland-cie-254/appartement-2-pieces-104772
",104772,"Immobilier
","2020-02-23
",maintenant										</span>,1951,1,1350,150,55,Chemin de Bonne-Espérance 24,1006.0,Lausanne,46.513425,6.64853,1,1,1,0,1,1,1,0,0,0,"<p>Quartier des Faverges, 2 minutes à pied du bus no.12 pour le centre-ville. Commerces dans le quartier. Situation plaisante et calme.<br>Comprenant : hall, séjour, une chambre, cuisine, balcon et cave.</p>",1500,Lausanne-Flon,21.788121932292423
2,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/dessus-gare-environnement-calme-112773
",112773,"Immobilier
","2020-02-23
",avril 2020										</span>,1905,2,2740,290,104,,,-1,46.518628,6.627108,3,1,1,2,1,0,1,0,0,0,"<p>Bénéficiant d'une situation idéale proche de toutes les commodités, gare, poste, banque et commerces, ce logement saura vous séduire non seulement par ses espaces généraux, mais aussi pour ses qualités suivantes :<br><br>- Grand hall avec armoire murale ,<br>- hauts plafonds avec moulures,<br>- salon avec cheminée et véranda,<br>- salle-à-manger fermée pouvant servir de 3ème chambre,<br>- cuisine entièrement agencée et habitable,<br>- deux chambres à coucher avec armoire murale,<br>- Salle de bains avec raccordement pour machine à laver,<br>- wc séparé,<br>- une cave complète ce bien.<br><br>Disponible dès le 1er avril 2020. <br><br>Une visitre groupée est prévue le vendredi 28 février 2002 de 16h30 à 17h30. Merci de vous rendre directement sur place et vous adresser à Madame Delaloye/moeller au 2ème. <br><br><br>N'hésitez pas à nous contacter en cas de questions complémentaires, nous nous réjouissons de votre prise de contact !<br><br>Documents nécessaires pour déposer une inscription auprès de notre agence :<br><br>- formulaire d'inscription dûment rempli (disponible sur notre site internet http://www.realestate.apleona.ch/fr/offre-location/formulaire-dinscription/)<br>- attestation de l'Office des Poursuites récente (max. 3 mois)<br>- dernières fiches de salaire<br>- copie de pièce d'identité ou du permis de séjour (B ou C)</p>",3030,Lausanne-Flon,2.720654782351903
3,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/superbe-3-pieces-cachet-vue-lac-113450
",113450,"Immobilier
","2020-02-23
",maintenant										</span>,1906,3,2000,270,72,,,-1,46.525512,6.651717999999999,2,2,1,2,1,1,1,0,0,0,"<p>Laissez-vous séduire par ce lumineux et spacieux logement qui dispose de belles pièces à vivre avec parquet.<br><br>Appartement avec du cachet dans un immeuble de caractère au coeur du quartier de Chailly. <br><br>Il se compose comme suit : <br><br>- 1 hall d'entrée avec armoires murales<br>- 1 cuisine agencée<br>- 2 chambres à coucher<br>- 1 séjour<br>- 1 salle-de-bains/wc<br>- 1 balcon<br>- 1 cave <br><br>Immeuble sécurisé avec interphones et buanderie commune. <br><br>Date de relocation : De suite ou à convenir<br>Pour les visites, veuillez contacter M. Rahmatollahi<br><br>Votre dossier d'inscription doit comporter les pièces suivantes, pour tous les titulaires du bail, y compris l’éventuel garant : <br><br>- Demande d'inscription dûment remplie, datée et signée (à télécharger sur notre site internet)<br>- Copie de vos 3 dernières fiches de salaire<br>- Attestation originale de l’Office des poursuites, datant de moins de 3 mois<br>- Copie de votre pièce d'identité (si nationalité suisse) ou permis de séjour<br><br>Les dossiers doivent être envoyés par poste ou déposés directement à notre agence (pas de fax ni de mail)<br><br>Seuls les dossiers complets et transmis correctement seront pris en considération.</p>",2270,Lausanne-Flon,23.896703774824736
4,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/galland-cie-254/appartement-2-1-2-pieces-11748
",11748,"Immobilier
","2020-02-23
",maintenant										</span>,-1,5,1350,120,47,Chemin de Rionza 17,1020.0,Renens,46.524873,6.599111,1,1,1,2,0,1,1,0,0,0,"<p>Immeuble avec ascenseur situé dans un quartier dynamique avec toutes les commodités à proximité immédiate, métro, bus et magasins. Accès autoroutier facile.<br>Comprenant : entrée, séjour, 1 chambre, cuisine agencée, salle de bains-WC, balcon et cave. Place de parc extérieure N°17 ä CHF 90.00.</p>",1470,Malley,3.837495140015166
5,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/rytz-cie-lausanne-575/appartement-coquet-lausanne-124887
",124887,"Immobilier
","2020-02-23
",maintenant										</span>,1972,-1,1000,-1,30,Chemin Isabelle-de-Montolieu 193,1010.0,Lausanne,46.544195,6.6437539999999995,0,1,2,2,2,2,1,0,0,0,"<p>- Quartier de Vennes<br>- À proximité des axes routiers<br>- À proximité d'un arrêt de bus<br>- Quartier familial<br>- Au rez-de-chaussée<br>- Hall d'entrée avec rangements<br>- Equipé<br>- Cuisine équipée<br>- Buanderie commune<br>- Bien fraîchement rénové<br>- Bon état<br>- Balcon<br><br>Situé dans un quartier convivial, proche de toutes commodités, des transports publics et des axes autoroutiers, cet appartement de 1.5 pièces au rez-de-chaussée comprenant :<br><br>- Hall d'entrée avec armoires<br>- Cuisine équipée<br>- Séjour avec balcon<br>- Salle de bains/WC<br><br>Annexe :<br>- cave n° 21<br><br>Loyer mensuel : CHF 1'000.-<br>Acompte de charges : CHF 90.-/mois<br>Arrêt de bus devant l'immeuble</p>",999,Lausanne-Flon,37.27327516044697
6,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/galland-cie-254/studio-125057
",125057,"Immobilier
","2020-02-23
",maintenant										</span>,-1,9,900,70,21,,,-1,46.540337,6.58092,0,0,1,2,0,0,0,0,0,0,"<p>Immeuble avec ascenseur situé dans un quartier dynamique. A 10 minutes à pied de la gare CFF de Renens. Magasins, bus et restaurants à la porte.<br>Comprenant: une pièce, cuisine agencée, salle de bains/WC.</p>",970,Renens,5.270935045368974
7,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-1-piece-lausanne-139436
",139436,"Immobilier
","2020-02-23
",avril 2020										</span>,-1,-1,960,100,35,,,-1,46.531857,6.611725999999999,0,0,0,0,0,0,0,0,0,0,<p>Charges à définir</p>,1060,Vigie,11.976570449998826
8,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-2-pieces-2eme-etage-lausanne-142044
",142044,"Immobilier
","2020-02-23
",maintenant										</span>,-1,2,-1,155,55,Rue Couchirard 16,1004.0,Lausanne,46.52708270000001,6.613284599999999,0,0,0,0,0,0,0,0,0,0,<p></p>,154,Vigie,5.627765273618552
9,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/naef-immobilier-lausanne-343/studio-meuble-quartier-calme-verdoyant-possibilite-louer-courte-duree-146456
",146456,"Immobilier
","2020-02-23
",maintenant										</span>,-1,0,1200,170,29,Chemin de Boissonnet 96,1010.0,Lausanne,46.54075020000001,6.641301299999999,0,0,1,2,1,0,0,0,0,0,"<p>Hall d'entrée avec armoires murales, pièce principale, cuisine agencée et salle de douche/WC. Places de parc extérieures disponibles en sus à CHF 100.-/mois.</p>",1370,Lausanne-Flon,31.81063363646552
