,link,id,host,Latitude,Longitude,Street,Zip,City,Announcer,Availability,Charges,ConstructionYear,Description,Floor,ListingSpace,LoyerBrut,LoyerNet,Reference
0,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/galland-cie-254/appartement-1-piece-104762,104762,Immobilier,46.520494,6.612747,Avenue de Montoie 2,1007,Lausanne,www.regiegalland.ch,2020-04-01,140,-1,"Petit immeuble, proche des commerces et du TSOL.Appartement comprenant: hall d'entrée, une pièce principale, cuisine entièrement agencée avec lave-vaisselle, salle de bains/WC. Une cave.",4,39,1240,1100,1046.440020
1,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/galland-cie-254/appartement-2-pieces-104772,104772,Immobilier,46.513425,6.64853,Chemin de Bonne-Espérance 24,1006,Lausanne,www.regiegalland.ch,1970-01-01,150,1951,"Quartier des Faverges, 2 minutes à pied du bus no.12 pour le centre-ville. Commerces dans le quartier. Situation plaisante et calme.Comprenant : hall, séjour, une chambre, cuisine, balcon et cave.",1,55,1500,1350,2321.410020
2,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/dessus-gare-environnement-calme-112773,112773,Immobilier,46.518628,6.627108,,-1,,www.realestate.apleona.ch,2020-04-01,290,1905,"Bénéficiant d'une situation idéale proche de toutes les commodités, gare, poste, banque et commerces, ce logement saura vous séduire non seulement par ses espaces généraux, mais aussi pour ses qualités suivantes :- Grand hall avec armoire murale ,- hauts plafonds avec moulures,- salon avec cheminée et véranda,- salle-à-manger fermée pouvant servir de 3ème chambre,- cuisine entièrement agencée et habitable,- deux chambres à coucher avec armoire murale,- Salle de bains avec raccordement pour machine à laver,- wc séparé,- une cave complète ce bien.Disponible dès le 1er avril 2020. Une visitre groupée est prévue le vendredi 28 février 2002 de 16h30 à 17h30. Merci de vous rendre directement sur place et vous adresser à Madame Delaloye/moeller au 2ème. N'hésitez pas à nous contacter en cas de questions complémentaires, nous nous réjouissons de votre prise de contact !Documents nécessaires pour déposer une inscription auprès de notre agence :- formulaire d'inscription dûment rempli (disponible sur notre site internet http://www.realestate.apleona.ch/fr/offre-location/formulaire-dinscription/)- attestation de l'Office des Poursuites récente (max. 3 mois)- dernières fiches de salaire- copie de pièce d'identité ou du permis de séjour (B ou C)",2,104,3030,2740,93013.03.0030
3,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/superbe-3-pieces-cachet-vue-lac-113450,113450,Immobilier,46.525512,6.651718,,-1,,www.realestate.apleona.ch,1970-01-01,270,1906,"Laissez-vous séduire par ce lumineux et spacieux logement qui dispose de belles pièces à vivre avec parquet.Appartement avec du cachet dans un immeuble de caractère au coeur du quartier de Chailly. Il se compose comme suit : - 1 hall d'entrée avec armoires murales- 1 cuisine agencée- 2 chambres à coucher- 1 séjour- 1 salle-de-bains/wc- 1 balcon- 1 cave Immeuble sécurisé avec interphones et buanderie commune. Date de relocation : De suite ou à convenirPour les visites, veuillez contacter M. RahmatollahiVotre dossier d'inscription doit comporter les pièces suivantes, pour tous les titulaires du bail, y compris l’éventuel garant : - Demande d'inscription dûment remplie, datée et signée (à télécharger sur notre site internet)- Copie de vos 3 dernières fiches de salaire- Attestation originale de l’Office des poursuites, datant de moins de 3 mois- Copie de votre pièce d'identité (si nationalité suisse) ou permis de séjourLes dossiers doivent être envoyés par poste ou déposés directement à notre agence (pas de fax ni de mail)Seuls les dossiers complets et transmis correctement seront pris en considération.",3,72,2270,2000,93101.01.0009
4,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/galland-cie-254/appartement-2-1-2-pieces-11748,11748,Immobilier,46.524873,6.599111,Chemin de Rionza 17,1020,Renens,www.regiegalland.ch,1970-01-01,120,-1,"Immeuble avec ascenseur situé dans un quartier dynamique avec toutes les commodités à proximité immédiate, métro, bus et magasins. Accès autoroutier facile.Comprenant : entrée, séjour, 1 chambre, cuisine agencée, salle de bains-WC, balcon et cave. Place de parc extérieure N°17 ä CHF 90.00.",5,47,1470,1350,5611.450010
5,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/rytz-cie-lausanne-575/appartement-coquet-lausanne-124887,124887,Immobilier,46.544195,6.643754,Chemin Isabelle-de-Montolieu 193,1010,Lausanne,www.spg-rytz.ch,1970-01-01,-1,1972,"- Quartier de Vennes- À proximité des axes routiers- À proximité d'un arrêt de bus- Quartier familial- Au rez-de-chaussée- Hall d'entrée avec rangements- Equipé- Cuisine équipée- Buanderie commune- Bien fraîchement rénové- Bon état- BalconSitué dans un quartier convivial, proche de toutes commodités, des transports publics et des axes autoroutiers, cet appartement de 1.5 pièces au rez-de-chaussée comprenant :- Hall d'entrée avec armoires- Cuisine équipée- Séjour avec balcon- Salle de bains/WCAnnexe :- cave n° 21Loyer mensuel : CHF 1'000.-Acompte de charges : CHF 90.-/moisArrêt de bus devant l'immeuble",-1,30,-1,1000,18935
6,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/galland-cie-254/studio-125057,125057,Immobilier,46.540337,6.58092,,-1,,www.regiegalland.ch,1970-01-01,70,-1,"Immeuble avec ascenseur situé dans un quartier dynamique. A 10 minutes à pied de la gare CFF de Renens. Magasins, bus et restaurants à la porte.Comprenant: une pièce, cuisine agencée, salle de bains/WC.",9,21,970,900,5543.490040
7,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-1-piece-lausanne-139436,139436,Immobilier,46.531857,6.611726,,-1,,www.bernard-nicod.ch,2020-04-01,100,-1,Charges à définir,-1,35,1060,960,010356.70.042
8,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-2-pieces-2eme-etage-lausanne-142044,142044,Immobilier,46.5270827,6.6132846,Rue Couchirard 16,1004,Lausanne,www.bernard-nicod.ch,1970-01-01,155,-1,,2,55,-1,-1,002394.22.023
9,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/naef-immobilier-lausanne-343/studio-meuble-quartier-calme-verdoyant-possibilite-louer-courte-duree-146456,146456,Immobilier,46.5407502,6.6413013,Chemin de Boissonnet 96,1010,Lausanne,www.naef.ch,1970-01-01,170,-1,"Hall d'entrée avec armoires murales, pièce principale, cuisine agencée et salle de douche/WC. Places de parc extérieures disponibles en sus à CHF 100.-/mois.",0,29,1370,1200,14979.14979.14979
10,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/naef-immobilier-lausanne-343/studio-meuble-possibilite-louer-courte-duree-3-mois-minimum-146457,146457,Immobilier,46.5407502,6.6413013,Chemin de Boissonnet 96,1010,Lausanne,www.naef.ch,1970-01-01,130,-1,"Studio meublé, n° 2, au rez-inférieur (niveau 1) comprenant :un hall, 1 chambre, cuisine agencée avec hotte, four, frigo, salle de douche/WC, cave.Places de parc extérieures disponibles en sus à Frs 100.-/mois.",0,20,1230,1100,14980.14980.14980
11,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/naef-immobilier-lausanne-343/studio-meuble-quartier-calme-verdoyant-possibilite-louer-courte-duree-146460,146460,Immobilier,46.54075,6.641301,Chemin de Boissonnet 96,1010,Lausanne,www.naef.ch,1970-01-01,130,-1,"Studio meublé n°7 au rez-supérieur (niveau 2), comprenant : -un hall d'entrée avec armoire murale- une pièce principale avec une cuisine agencée ouverte - une salle de douche/WC.Places de parc extérieures disponibles en sus à Frs 100.-/mois.",0,20,1230,1100,14983.14983.14983
12,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-2-1-2-pieces-lausanne-148452,148452,Immobilier,46.531857,6.611726,,-1,,www.bernard-nicod.ch,1970-01-01,155,-1,"Pour les visites, veuillez contacter M. Lenoir",-1,60,1495,1340,010356.70.043
13,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-1-2-pieces-4eme-etage-lausanne-152104,152104,Immobilier,46.521563,6.612662,Chemin de la Colline 6,1007,Lausanne,www.bernard-nicod.ch,1970-01-01,210,-1,"Appartement de 3.5 pièces à 5 min. du métro COLOCATION ACCEPTEEVISITE GROUPEE LE LUNDI 29 JANVIER 2018 DE 17H A 18HSuperbe appartement situé dans un immeuble convivial et dans un quartier calme.Le logement comprend : Séjour lumineux, cuisine agencée ouverte sur le séjour, 2 spacieuses chambres à coucher, salle de bains, WC séparé, réduit d'env. 7 m2 avec armoires murales.Vos avantages : Situé à seulement 300 m. de l'arrêt ""Montelly"", à 10 minutes du centre ville, et des commerces de proximité.",4,80,-1,-1,021270.24.115
14,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/naef-immobilier-lausanne-343/studio-meuble-quartier-calme-verdoyant-possibilite-louer-courte-duree-159219,159219,Immobilier,46.54075,6.641301,Chemin de Boissonnet 96,1010,Lausanne,www.naef.ch,1970-01-01,130,-1,"Studio meublé, n° 4, au rez-inférieur (niveau 1), comprenant : -un hall d'entrée avec armoire murale- une pièce principale avec cuisine agencée ouverte- une salle de douche/WCPlaces de parc extérieures disponibles en sus à Frs 100.-/mois.",0,21,1230,1100,15910.15910.15910
15,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-5-1-2-pieces-1er-etage-lausanne-160636,160636,Immobilier,46.527842,6.649943,Avenue de la Vallonnette 7,1012,Lausanne,www.bernard-nicod.ch,1970-01-01,175,-1,Superbe appartement à louer de 107m2,1,107,2675,2500,010093.21.004
16,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/galland-cie-254/appartement-3-pieces-161265,161265,Immobilier,46.5355278,6.6465096,Route de Berne 39,1010,Lausanne,www.regiegalland.ch,2020-03-01,190,-1,"Immeuble situé proche de toutes commodités.Comprenant: hall d'entrée, séjour, 2 chambres à coucher, cuisine avec frigo, salle de bains/WC, balcon. Garage N°1 à CHF 140.-/mois.",0,58,1640,1450,1011.400010
17,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/gerance-robert-crot-cie-256/loft-situe-coeur-ville-lumineux-mezzanine-dote-terrasse-echappee-lac-162623,162623,Immobilier,46.523915,6.624372,Avenue de France 1,1004,Lausanne,www.gerance-crot.ch,2020-07-01,200,-1,"Immeuble ancien avec cachet (hauts plafonds et parquet). Il est à deux pas des transports publics (arrêt de bus Chauderon), à proximité du LEB (200 m), d'un centre commercial (300 m), du quartier divertissant du Flon (400 m) et à envion 700 m de diverses écoles (ERACOM/ EPSIC/ ETML). Comprenant:   Cuisine ouverte avec îlot, agencée et équipée Pièce à vivre Mezzanine Salle de bains baignoire/wc Salle de douches/lavabo-wc Lave-linge Terrasse avec échappée sur le lac",5,116,2900,2700,1325.450510
18,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-1-2-pieces-1er-etage-lausanne-164015,164015,Immobilier,46.533871,6.647604,,-1,,www.bernard-nicod.ch,2020-10-01,295,-1,"Joli appartement à proximité du centre-ville Pour les visites, veuillez contacter nos bureaux",1,71,1995,1700,010354.21.013
19,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/bel-appartement-3-pieces-quartier-calme-166425,166425,Immobilier,46.517385,6.644938,,-1,,www.realestate.apleona.ch,2020-04-01,250,-1,"Dans un quartier verdoyant et à proximité de Mon-Repos, cet appartement de 3 pièces au 1er étage se compose comme suit :  - Grand hall avec armoire murale- Cuisine agencée avec cuisinière vitrocéram, frigo, lave-vaisselle- Séjour- 2 chambres à coucher dont 1 avec armoires murales- WC séparé, - Salle-de-bain avec baignoire- Balcon- CaveProche de toutes commodités. Un arrêt de bus se trouve à 1 minute à pied. Immeuble avec digicode, ascenseur et buanderie commune. Disponible dès le 1er avril 2020Votre dossier d'inscription doit comporter les pièces suivantes, pour tous les titulaires du bail, y compris l'éventuel garant :- Demande d'inscription dûment remplie, datée et signée (à télécharger sur notre site internet)- Copie de vos 3 dernières fiches de salaire- Attestation originale de l'Office des poursuites, datant de moins de 3 mois- Copie de votre pièce d'identité (si nationalité suisse) ou permis de séjourLes dossiers doivent être envoyés par poste ou déposés directement à notre agence (pas de fax, ni de mail)",1,66,1850,1600,81302.01.0011
20,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/rosset-immobilier-geneve-vaud-fribourg-siege-social-46/grand-appartement-25-pieces-167360,167360,Immobilier,46.533658,6.647386,,-1,,www.rosset.ch,2020-07-01,100,-1,"Grand appartement de 2.5 pièces d'environ 63m2 au 3ème étage, comprenant;- Un hall avec armoires, - Une cuisine agencée avec lave-vaisselle, - Un grand séjour, - Une grande chambre à coucher, - Une salle-de-bains/WC- Un balcon, - Une cave,Cet immeuble est idéalement situé à 2 pas du métro M2 et des commerces.",3,63,1700,1600,100580.100581.33.19
21,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-pieces-2eme-etage-lausanne-169497,169497,Immobilier,46.530699,6.618157,Avenue des Bergières 55,1004,Lausanne,www.bernard-nicod.ch,1970-01-01,205,-1,"Proximité : A seulement 200m. des commerces, bureau de poste, transports-publics.",2,65,1865,1660,000364.22.021
22,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/bernard-nicod-siege-400/-178085,178085,Immobilier,-1.0,-1.0,1020 Renen,-1,,www.bernard-nicod.ch,1970-01-01,270,-1,,1,-1,2220,1950,NT03L
23,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-1-piece-5eme-etage-lausanne-182543,182543,Immobilier,46.525287,6.63513,Place du Tunnel 5,1005,Lausanne,www.bernard-nicod.ch,2020-03-01,-1,-1,,5,30,-1,1010,010337.25.052
24,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/immobiliere-lausanne-806/bordure-golf-luxueux-attique-terrasse-183033,183033,Immobilier,46.5591575,6.6728641,Chemin de Praz-Buchilly 103,1000,Lausanne,www.immobiliere-de-lausanne.ch,1970-01-01,-1,1972,"Le caractère d'exception alloué à ce bien subjuguera ses futurs et privilégiés locataires ! _ En effet, outre une situation idyllique en bordure de Golf , cette résidence haute gamme ne propose que 4 logements . Les occupants jouissent d'un calme absolu et d'une agréable privacité tout en bénéficiant d'un service de conciergerie qui leur est réservé facilitant leur quotidien . L'appartement dispose d' une rarissime superficie habitable de 423 m2 supplée d'une terrasse de 76 m2 comprenant un jardin d'hiver et dégageant une belle vue Ouest sur le golf .  Il occupe les 2 derniers étages de l'immeuble relié par un élégant escalier central . Les volumes de l'appartement octroient de généreuses surfaces aux pièces de réception ,et attribuent une salle de bains à chacune des 5 chambres . De nombreux placards et dressings sont consacrés au rangement . Le premier étage propose : - Une entrée avec vestiaire et toilettes visiteurs s'ouvrant sur un fastueux hall qui dessert : - Un salon tv - Un somptueux salon de réception avec cheminée donnant sur la terrasse - Une salle à manger communicante avec le salon et un charmant jardin d'hiver - Un bureau - Une spacieuse cuisine principale à laquelle est annexée un seconde cuisine de travail . - Un petit hall de distribution reliant chaque pièces  Il est à noter qu'une entrée de service permet d'accéder à une chambre réservée pour le personnel avec une salle de bains et communiquant avec les cuisines .Le second étage dispose de : - 2 masters avec en suite salles de bains et dressings - 3 chambres avec salles de bains privatives  Enfin 2 places de parc en sus à Frs 400.- les deux et 2 caves en sous sol sont adjointes à l'habitation .",-1,423,-1,8900,229455
25,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/livit-ag-real-estate-management-675/votre-abonnement-parking-gratuit-pendant-annee-185560,185560,Immobilier,46.520724,6.633542,Rue Saint-François 2,1003,Lausanne,www.livit.ch,1970-01-01,200,1893,"Nous vous offrons un abonnement d'une année dans l'un des parking souterrain aux alentours de l'immeuble. Magnifique appartement en duplex dans un immeuble classé avec ascenseur au coeur de Lausanne comprenant : Au rez: - Cuisine agencée ouverte sur séjour- Séjour - Hall avec armoire murale- Chambre avec armoires murales- Salle de douche- Colonne de lavageA l'étage:- Pièce ouverte avec salle de bain attenanteEn sortant de l'immeuble, vous trouverez tout ce dont vous aurez besoin, des restaurants, des commerces, une librairie, une boulangerie et bien plus encore! Une visite s'impose !",4,96,2800,2600,6575.01.0403
26,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/naef-immobilier-lausanne-343/studio-meuble-situe-quartier-calme-verdoyant-187415,187415,Immobilier,46.54075,6.641301,Chemin de Boissonnet 96,1010,Lausanne,www.naef.ch,2020-03-01,170,-1,"hall avec armoires murales, 1 chambre, cuisine agencée avec hotte, four, frigo, salle de douche/WC, cave. Places de parc extérieures disponibles en sus.",2,29,1270,1100,17239.17239.17239
27,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-1-2-pieces-lausanne-188056,188056,Immobilier,46.5160132,6.6532248,Chemin du Levant 157,1005,Lausanne,www.bernard-nicod.ch,1970-01-01,300,-1,Balcon - Tranquillité - 2 chambres à coucher - WC séparé - lave-vaisselle - balcon,0,82,2350,2050,000525.18.001
28,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/-193433,193433,Immobilier,-1.0,-1.0,1007 Lausann,-1,,www.bernard-nicod.ch,1970-01-01,120,-1,,4,70,1680,1560,VXMO2
