,old,link,Announcer,Availability,ListingSpace,LoyerNet,Charges,LoyerBrut,Street,Zip,City,Latitude,Longitude,NearestStop,TimeToNearestStop
31,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/votre-logement-renove-3-pieces-centre-ville-200306,www.realestate.apleona.ch,2020-03-01,62,1650,165,1815,Rue des Echelettes 6,1004,Lausanne,46.52460900000001,6.6245699999999985,Vigie,6.844290760151711
37,True,https://www.immobilier.ch/fr/louer/appartement/vaud/prilly/wincasa-siege-602/appartement-proche-toutes-les-commodites-216046,www.wincasa.ch,2020-03-01,71,1510,160,1670,,-1,,46.524693,6.602697999999998,Provence,1.037035760477618
43,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/livit-ag-real-estate-management-675/5-minutes-centre-ville-227251,www.livit.ch,2020-03-01,79,1940,265,2205,Avenue Louis-Ruchonnet 19,1003,Lausanne,46.51851,6.625428,Lausanne-Flon,4.002245676966995
79,True,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/wincasa-siege-602/proche-lausanne-263800,www.wincasa.ch,2020-02-23,85,1700,360,2060,Rue de Lausanne 71a,1020,Renens,46.5319428,6.5939202,Malley,8.36774963680409
109,True,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/wincasa-siege-602/spacieux-logement-proche-lausanne-288918,www.wincasa.ch,2020-02-23,85,1700,360,2060,Rue de Lausanne 71b,1020,Renens,46.531844,6.594050299999998,Malley,8.203613616966999
166,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regie-duboux-279/appartement-spacieux-83m2-centre-ville-lausanne-325527,www.regieduboux.ch,2020-02-23,83,1700,145,1845,,-1,,46.5211662,6.6178933,Vigie,4.7608028368170325
167,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regie-duboux-279/appartement-spacieux-83m2-centre-ville-lausanne-325882,www.regieduboux.ch,2020-02-23,83,1700,270,1970,,-1,,46.5211662,6.6178933,Vigie,4.7608028368170325
169,True,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/galland-cie-254/appartement-3-pieces-326797,www.regiegalland.ch,2020-02-23,68,1550,120,1670,Chemin du Rionza 15,1020,Renens,46.5248123,6.5993344,Provence,3.6689738041631066
188,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/centre-ville-disponible-suite-332707,www.realestate.apleona.ch,2020-02-23,89,2000,300,2300,,-1,,46.5252404,6.620912599999999,Vigie,3.411518677397619
195,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/bel-appartement-centre-ville-335824,www.realestate.apleona.ch,2020-02-23,64,1880,165,2045,,-1,,46.523920200000006,6.621207400000001,Vigie,3.6305069059774566
200,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-1-2-pieces-lausanne-336250,www.bernard-nicod.ch,2020-02-23,81,1800,290,2090,Avenue de Morges 177,1004,Lausanne,46.52628170000001,6.60953,Provence,6.5779972342862285
237,True,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/livit-ag-real-estate-management-675/chambre-colocation-345757,www.livit.ch,2020-02-23,74,1125,125,1250,Rue du Temple 1-3,1020,Renens,46.5366378,6.5881085000000015,Renens,8.545307238229746
259,True,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/livit-ag-real-estate-management-675/ideal-famille-349127,www.livit.ch,2020-02-23,104,1850,300,2150,Chemin de la Roche 8,1020,Renens,46.5313475,6.597447099999999,Malley,7.524276412766155
260,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/magnifique-appartement-caractere-proche-centre-ville-349257,www.realestate.apleona.ch,2020-02-23,89,2022,300,2322,,-1,,46.5252404,6.620912599999999,Vigie,3.411518677397619
289,True,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/wincasa-siege-602/proche-toutes-commodites-353366,www.wincasa.ch,2020-02-23,85,1730,360,2090,Rue de Lausanne 73a,1020,Renens,46.5318127,6.5941391000000005,Malley,8.142785090350738
334,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-pieces-2eme-etage-lausanne-360762,www.bernard-nicod.ch,2020-03-01,75,-1,150,149,Chemin de Malley 12,1007,Lausanne,46.5242284,6.6067510999999985,Provence,4.0778122552186415
337,True,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/bernard-nicod-siege-400/appartement-3-1-2-pieces-5eme-etage-renens-361861,www.bernard-nicod.ch,2020-04-01,77,-1,255,254,Rue de Lausanne 45,1020,Renens,46.53562720000001,6.5886725,Renens,9.24610499724103
339,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/pbbg-gerances-gestions-immobilieres-271/appartement-3-pieces-lausanne-361946,www.pbbg.ch,2020-02-23,66,1700,200,1900,Chemin du Mont-Tendre 26,1007,Lausanne,46.5184145,6.620083500000002,Lausanne-Flon,8.828916190464664
430,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/rilsa-288/appartement-3-pieces-1-2-1er-etage-690m2-370392,www.rilsa.ch,2020-02-23,69,1650,-1,1649,Chemin de Pierreval 4,1007,Lausanne,46.5185937,6.6127506999999985,Vigie,9.683473692906267
442,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/comptoir-immobilier-lausanne-239/grand-appartement-35-pieces-idealement-situe-proche-axe-autoroutier-metro-m1-ligne-tl-371419,www.comptoir-immo.ch,2020-04-01,93,1980,285,2265,Route de Chavannes 68,1007,Lausanne,46.5268618,6.589449,Malley,6.239201906590003
447,True,https://www.immobilier.ch/fr/louer/appartement/vaud/ecublens/wincasa-siege-602/bel-appartement-louer-sein-construction-recente-372585,www.wincasa.ch,2020-02-23,74,1675,170,1845,Chemin de Champ-Colomb 1A,1024,Ecublens,46.5384861,6.5712259999999985,Epenex,3.1677452114229463
450,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/rudin-immobilier-sarl-1061/appartement-refait-neuf-centre-lausanne-face-arret-leb-372723,www.rudin-immobilier.ch,2020-02-23,79,1950,150,2100,,-1,,46.5297479,6.614,Vigie,8.279356376139658
538,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/zimmermann-immobilier-772/appartement366-376347,www.regiez.ch,2020-03-01,66,1600,190,1790,,-1,,46.524381,6.619086500000001,Vigie,1.45858472412395
539,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/livit-ag-real-estate-management-675/appartement-cachet-376448,www.livit.ch,2020-03-01,80,2060,190,2250,Rue du Midi 16,1003,Lausanne,46.5184058,6.6332617,Lausanne-Flon,5.184669343746875
544,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/bel-appartement-3-pieces-coeur-rues-pietonnes-376552,www.realestate.apleona.ch,2020-05-01,75,1800,235,2035,Rue St-Laurent 12,1003,Lausanne,46.5224018,6.631628,Lausanne-Flon,4.274749337677706
616,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/pbbg-gerances-gestions-immobilieres-271/louer-centre-ville-lausanne-377842,www.pbbg.ch,2020-03-01,76,1600,100,1700,Rue du Petit-Chêne 17,1003,Lausanne,46.518145,6.630006599999999,Lausanne-Flon,3.2074721732929325
